Date,Location,Deaths,Injuries,Total,Description
11/12/1840,"Charlottesville, Virginia",1,0,1,"John Anthony Gardner Davis, a law professor at the University of Virginia, was shot by student Joseph Semmes and died three days later.[1][2]"
11/2/1853,"Louisville, Kentucky",1,0,1,"Murder of William Butler: Student Mathews Flounoy Ward shot the schoolmaster William H.G. Butler as revenge for sadistic punishment of his brother the day before. Butler died, and Ward was acquitted.[3]"
8/16/1856,"Florence, Alabama",2,0,2,"The schoolmaster warned students not to harm his tame sparrow, threatening death. One of the boys stepped on the bird and killed it. When the boy returned to school, the master took the boy into a private room and strangled him. The boy's father upon hearing what had happened went to the school and shot the schoolmaster dead.[4]"
1/21/1860,"Todd County, Kentucky",1,0,1,A son of Col. Elijah Sebree was killed by another student. He had been led to believe that Young Sebree was threatening him; the latter student got a gun and fatally shot Sebree in the schoolhouse.[6]
2/6/1864,"Ashland County, Ohio",1,0,1,"George W. Longfelt (or George W. Langfitt), the school teacher of the Pyfer's School House, killed student Alfred Desem (or Albert Diesem) and fled.[7][8]"
2/16/1867,"Knights Ferry, California",2,0,2,"Mr. McGinnis was killed by his daughter's teacher George T. Cheshire after McGinnis threatened the teacher for expelling his daughter from school. When McGinnis' son learned of this, he went to the school and killed the teacher.[9]"
4/2/1867,"Madison, Florida",1,0,1,"Frank Pope, a pupil at St. John's seminary, shot and killed his teacher Mr. Bristow.[10]"
6/4/1967,"Buffalo, New York",0,1,1,"13-year-old Arthur Day secretly took a loaded pistol to PS No. 18 to shoot a dog he said had bitten him. While playing with the pistol, Day accidentally shot and wounded classmate Robert Morton.[11]"
2/27/1871,"Knoxville, Tennessee",1,0,1,"John Roberts, aged 10 or 12, was accidentally shot in the eye at school and died.[12]"
2/1/1872,"Washington, Pennsylvania",0,1,1,"At the all-girls Union School, 17-year-old Thomas McGiffin shot and seriously wounded the principal, Prof. Wilson, in the hip because Wilson refused to deliver a note to one of the girls. McGiffin was a son of Col. Norton McGiffin, and brother of US naval hero Philo McGiffin.[13]"
2/11/1873,Wisconsin,0,1,1,A man shot the school mistress for whipping his son.[14][unreliable source?]
2/20/1874,"Agency, Montana",1,0,1,"After being ejected from school for disobedience, 20-year-old Thomas Squires fatally shot Prof. Hayes three times in the abdomen.[15]"
4/9/1874,"Lebanon, Tennessee",1,0,1,"John Robert Breckinridge, son of the late Robert Jefferson Breckinridge, attending classes in law at Cumberland University in Lebanon, Tennessee, was killed by John L. Anderson, the Mayor's son. The latter was reportedly ""crazed with liquor.""[16][17]"
5/24/1878,"St. Paul, Minnesota",0,1,1,"A 13-year-old boy, Luckert, accidentally shot and wounded Allie McDonald, another boy at the Neill school. The youth was expected to recover. His mother Mrs. McDonald went to the police station, but did not file a formal complaint.[18]"
5/24/1879,"Lancaster, New York",0,1,1,"Telegraph operator Frank Shugart shot and severely injured Mr. Carr, superintendent of the stables at a girls' school.[19]"
12/1/1881,"Santa Monica, California",1,0,1,"While working late at the schoolhouse on a program for the children's concert, Mr. O'Donnell, the school master, and Mr. Williams, one of the parents, got into an argument. Williams fatally shot O'Donnell in the back.[20]"
12/22/1881,"Shelby County, Indiana",0,0,0,School teacher Charles J. Gregory shot at a pupil at close range because he refused to write on a slate. The bullet missed the boy. The teacher was arrested.[21]
1/16/1882,"Iola, Kansas",0,0,0,"A group of boys shot into a schoolhouse, but no one was hurt. Two of the boys were arrested and pleaded guilty three weeks later. They were fined $9.00 each.[22]"
4/13/1882,"Huntsville, Texas",0,1,1,"G.W. Gray, a student at the Sam Houston Normal School, shot and wounded another student, M.J. Jordan. They were arguing over a comic valentine.[23]"
2/14/1883,"Florence, Nebraska",0,3,3,"As some children were playing and throwing snowballs outside the Ponca Creek schoolhouse, Lem Harbaugh and the Shipley brothers, three young men, pulled up in a wagon and engaged the children in a snowball fight. One of the Shipley brothers had a .45-caliber needle gun. As the children kept throwing snowballs, Harbaugh aimed the gun at them. The lock was faulty and the gun went off; he wounded Mamie Shipley, Joy Price, and Marquis Price. Harbaugh later surrendered himself to the authorities.[24]"
11/20/1883,"Barber County, Kansas",0,0,0,"A bunch of drunken cowboys stopped at several schoolhouses, forcing two teachers to drink whiskey, and firing numerous shots at three schoolhouses.[25]"
2/28/1884,"Danville, Virginia",0,2,2,"As Allen Wamack, a 15-year-old boy, drove by an all black schoolhouse, he called out ""school butter"" (an insult meaning a cobbing, or a whipping).[26] The students came out and fired several shots at him; he shot back, hitting two students.[27]"
3/6/1884,"Charlestown, Massachusetts",0,0,0,"As news of outlaw Jesse James reached the East Coast, young boys started to imitate him. For instance, boys shot at police investigating their activities at the Concord Street schoolhouse.[28]"
6/12/1887,"Cleveland, Tennessee",1,0,1,"Will Guess shot and killed teacher Miss Irene Fann, for whipping his little sister the day before.[29]"
