movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross
Snow White and the Seven Dwarfs,12/21/37,Musical,G,184925485,5228953251
Pinocchio,2/9/40,Adventure,G,84300000,2188229052
Fantasia,11/13/40,Musical,G,83320000,2187090808
Song of the South,11/12/46,Adventure,G,65000000,1078510579
Cinderella,2/15/50,Drama,G,85000000,920608730
Lady and the Tramp,6/22/55,Drama,G,93600000,1236035515
101 Dalmatians,1/25/61,Comedy,G,153000000,1362870985
Babes in Toyland,12/14/61,Musical,G,10218316,124841160
Bon Voyage!,5/17/62,Comedy,Not Rated,9230769,109581646
The Jungle Book,10/18/67,Musical,Not Rated,141843000,789612346
The Aristocats,4/24/70,Musical,G,55675257,255161499
Splash,3/9/84,Comedy,PG,62599495,157057661
Down and Out in Beverly Hills,1/31/86,Comedy,R,62134225,141183693
Ruthless People,6/27/86,Comedy,R,71624879,162748712
The Color of Money,10/17/86,Drama,R,52293000,117957323
Outrageous Fortune,1/30/87,Comedy,R,52864741,113976921
Stakeout,8/5/87,Comedy,R,65673233,141592160
3 Men and a Baby,11/25/87,Comedy,PG,167780960,353334607
Good Morning Vietnam,12/23/87,Comedy,R,123922370,254414837
Return to Snowy River,4/15/88,Adventure,PG,13687027,28073384
Big Business,6/10/88,Comedy,PG,40150487,82352451
Who Framed Roger Rabbit?,6/22/88,Comedy,PG,154112492,316250084
Cocktail,7/29/88,Drama,R,78222753,160442289
Ernest Saves Christmas,11/11/88,Comedy,PG,28202109,57845202
Oliver & Company,11/18/88,Adventure,G,49576671,102254492
Beaches,12/21/88,Drama,PG-13,57041866,120381757
Three Fugitives,1/27/89,Comedy,PG-13,40590000,85757817
New York Stories,3/1/89,Drama,PG,10763469,22740861
Dead Poets Society,6/2/89,Drama,PG,95860116,202531517
"Honey, I Shrunk the Kids",6/23/89,Adventure,PG,130724172,276191669
Turner & Hooch,7/28/89,Comedy,PG,71079915,150176361
