AppID,PermissionToName,AppName,Reviewer,Platform,OS,Whichpopulationsistheapptargeting,Howwouldyoubestcategorizetheappdeveloper,Whatkindsofsupportdoesthedeveloperoffer,Wasanappropriateclinicalexpertinvolvedinappdevelopmentorqualitycontrol,Werepatientsinvolvedinappdevelopmentorqualitycontrol,Doestheappmakereferencetodiseasespecificguidelines,DoestheappclaimtobecompliantwiththeFDAguidelinessurroundingregulationofmobilemedicalapps,Doestheapprequirealogin,Doestheapphaveinappadvertising,IfyouansweredYestothepriorquestionisitpossibletoupgradetoanadfreeversion,Istheapptetheredtoahealthcaresystem,Cantheappsyncdirectlywithaperipheraldevice,IftheappisaniOSappisitcompatiblewithHealthKit,IftheappisanAndroidappisitcompatiblewithGoogleFit,Doestheapphaveaprivacypolicy,Doestheappdeveloperprovideruserinformationtoothersindividuallyorinaggregate,DoestheappclaimtomeetthestandardofHIPAAcompliance,Inwhatwaysdoestheappengagepatients,Doestheapprewardtheuserforengagingwiththeapporachievinghealthgoals,DoestheappengageusersthroughsocialmediaIfsohow,Doestheappappropriatelywarnuserscaregiversorclinicianswhendangerousinformationisentered,HowdoestheapphandlecommunicationorsharingofinformationwithCAREGIVERS,HowdoestheapphandlecommunicationorsharingofinformationwithCLINICIANS,IthinkthatIwouldliketousethisappfrequently,Ifoundtheappunnecessarilycomplex,Ithoughttheappwaseasytouse,IthinkthatIwouldneedthesupportofatechnicalpersontobeabletousethisapp,Ifoundthevariousfunctionsinthisappwerewellintegrated,Ithoughttherewastoomuchinconsistencyinthisapp,Iwouldimaginethatmostpeoplewouldlearntousethisappveryquickly,Ifoundtheappverycumbersometouse,Ifeltveryconfidentusingtheapp,IneededtolearnalotofthingsbeforeIcouldgetgoingwiththisapp,Howlikelyisitthatyouwouldrecommendthisapptoafriendorcolleague,iOSAvgRating,iOSNumRatings,AndroidAvgRating,AndroidNumRatings,AndroidNumDownloads,iOSONLYPricetodownloadtheappindollars,iOSONLYPricetopurchaseALLinapppurchasesindollars,iOSONLYAnnualpricetopurchaseasubscriptionindollars,ANDROIDONLYPricetodownloadtheappindollars,ANDROIDONLYPricetopurchaseALLinapppurchasesindollars,ANDROIDONLYAnnualpricetopurchaseasubscriptionindollars
5,n,,clinician_reviewer,iPhone,iOS,None of the above,For-profit company,E-mail,No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,"Patient can e-mail information to caregiver using app, Patient can text information to caregiver using app","Patient can e-mail information to clinician using app, Patient can text information to clinician using app",,,,,,,,,,,1,4,366,,,,22.01,0,0,,,
5,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,All of the above,For-profit company,"E-mail, Phone",No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,4,4,3,2,4,1,2,3,3,3,,,,,,,15,0,0,,,
13,y,Blood Pressure Companion,clinician_reviewer,Android tablet,Android,Hypertension,For-profit company,E-mail,Clinical expert involved,Patients involved,Yes,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,Not applicable (Android app),No,Yes,No,No,"Provides educational information, Instructs patients (app provides guidance or advice based on information you provide it), Records information, Displays patient's health information",No,None of the above,No,None of the above,None of the above,,,,,,,,,,,6,,,4,124,"1,000 - 5,000",0.99,1.22,0,,,
13,y,Blood Pressure Companion,nonclinician_reviewer,Android tablet,Android,Hypertension,For-profit company,E-mail,No clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,Not applicable (Android app),No,Yes,"Yes, in aggregate only",No,"Records information, Displays patient's health information, Reminds or alerts patients",No,None of the above,No,None of the above,None of the above,3,1,4,1,4,1,5,1,5,1,,,,,,,,,,0,1.28,0
14,y,Blood Pressure Companion,clinician_reviewer,iPhone,iOS,Hypertension,For-profit company,E-mail,No clinical expert involved,No patients involved,No,No,Yes,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with family (e.g. caregiver)",No,None of the above,No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,,,,,,,,,,,5,5,878,,,,0.99,0,0,,,
14,y,Blood Pressure Companion,nonclinician_reviewer,iPad or iPad Mini,iOS,Hypertension,For-profit company,E-mail,No clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\"" to prior question)""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with clinician, Enables communication of information with family (e.g. caregiver)",No,"Public (e.g. Twitter, Facebook, Pinterest, etc)",No,Patient can e-mail information to caregiver using app,Patient can e-mail information to clinician using app,4,1,5,1,5,1,5,1,4,1,,,,,,,1.99,0,0,,,
18,n,,clinician_reviewer,iPhone,iOS,Pain,Other non-profit organization,None of the above,Clinical expert involved,No patients involved,No,No,Yes,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information",No,None of the above,No,None of the above,None of the above,,,,,,,,,,,2,,,,,,0,0,0,,,
18,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,Pain,Other non-profit organization,E-mail,Clinical expert involved,No patients involved,No,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),No,Not stated,No,"Records information, Displays patient's health information",No,None of the above,No,None of the above,None of the above,3,4,2,3,3,1,2,3,4,2,,,,,,,0,0,0,,,
19,n,,clinician_reviewer,iPhone,iOS,"Smoking, alcohol, or drug abuse",Government agency,None of the above,Clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),Yes,Not stated,No,"Provides educational information, Instructs patients (app provides guidance or advice based on information you provide it), Records information, Displays patient's health information, Reminds or alerts patients, Enables communication of information with family (e.g. caregiver)",Yes,"Public (e.g. Twitter, Facebook, Pinterest, etc)",No,None of the above,None of the above,,,,,,,,,,,7,Taken off app store,Taken off app store,,,,0,0,0,,,
19,n,,nonclinician_reviewer,iPad or iPad Mini,iOS,"Smoking, alcohol, or drug abuse",Medical professional society,E-mail,No clinical expert involved,No patients involved,Yes,No,No,No,"Not applicable (answered \No\\ to prior question)\""""",No,No,No,Not applicable (iOS app),Yes,No,No,"Provides educational information, Instructs patients (app provides guidance or advice based on information you provide it), Records information, Displays patient's health information, Reminds or alerts patients",Yes,"Public (e.g. Twitter, Facebook, Pinterest, etc)",No,None of the above,None of the above,4,1,5,1,5,1,5,1,5,1,,,,,,,0,0,0,,,
